symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,SHORT,2025-12-17T05:30:00,2025-12-17T07:00:00,2922.120235,2935.49,0.27377381,200.0,4.0,-4.30175567,-0.02150878,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-17T14:00:00,2025-12-17T15:45:00,87715.265835,87233.44,0.00907827,199.07564887,4.0,-5.00943595,-0.02516348,7,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-12-18T13:00:00,2025-12-18T16:15:00,88031.839985,88100.01,0.0089972,198.01005747,4.0,-0.02053814,-0.00010372,13,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-19T14:00:00,2025-12-19T15:15:00,2978.330805,2966.49,0.26584365,197.94258662,4.0,-3.77996003,-0.01909624,5,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-19T21:00:00,2025-12-20T00:30:00,88046.662185,88084.42,0.0089554,197.12325299,4.0,-0.29279336,-0.00148533,14,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2025-12-20T05:30:00,2025-12-20T06:30:00,88642.765,88308.53,0.00888969,197.00161488,4.0,-3.60046129,-0.0182763,4,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-20T18:45:00,2025-12-20T21:45:00,88445.679815,88208.73,0.00887408,196.2184821,4.0,-2.72976938,-0.01391189,12,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-12-21T00:15:00,2025-12-21T01:15:00,88547.34208,88290.01,0.00883639,195.60973831,4.0,-2.89892853,-0.01481996,4,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-21T08:15:00,2025-12-21T11:30:00,2988.99678,2996.52,0.26091344,194.96735749,4.0,1.3382285,0.00686386,13,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-21T18:30:00,2025-12-21T21:30:00,2988.686315,2979.38,0.26121525,195.17261363,4.0,-3.05453142,-0.01565041,12,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-12-22T00:00:00,2025-12-22T02:00:00,3050.1684,2994.04,0.2550669,194.49925211,4.0,-14.93316819,-0.07677751,8,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-12-22T08:15:00,2025-12-22T08:45:00,3055.706695,3027.84,0.25061355,191.45037872,4.0,-7.59361918,-0.03966364,2,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-22T12:15:00,2025-12-22T13:30:00,90435.460015,89768.72,0.00839805,189.87039076,4.0,-6.20466186,-0.03267841,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-22T20:00:00,2025-12-22T21:45:00,2973.942385,2988.68,0.25362791,188.56869986,4.0,-4.34278552,-0.02303026,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-12-23T03:00:00,2025-12-23T08:00:00,87995.798015,87597.37,0.00852949,187.63980077,4.0,2.79929942,0.01491847,20,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-23T12:45:00,2025-12-23T16:15:00,2951.10669,2956.3,0.2550089,188.13961592,4.0,-1.92691676,-0.01024195,14,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-12-23T22:00:00,2025-12-24T00:45:00,87352.144945,87660.47,0.00859482,187.69402789,4.0,-3.25167976,-0.01732436,11,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2025-12-24T02:45:00,2025-12-24T04:00:00,87003.688415,87421.85,0.00859658,186.98362985,4.0,-4.19454673,-0.02243269,5,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-24T14:30:00,2025-12-24T16:00:00,2905.635,2931.61,0.25617104,186.08488574,4.0,-7.25217604,-0.03897241,6,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-12-24T22:30:00,2025-12-24T23:15:00,88116.106195,87599.14,0.00837871,184.57490337,4.0,-4.92041875,-0.02665811,3,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-25T10:00:00,2025-12-25T11:30:00,2915.170675,2925.0,0.25182986,183.53175565,4.0,-3.06360928,-0.01669253,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-12-25T16:00:00,2025-12-25T17:30:00,88435.985295,88065.34,0.00827086,182.86030363,4.0,-3.64948026,-0.01995775,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-25T23:00:00,2025-12-26T01:30:00,2919.11475,2919.01,0.24948919,182.07189228,4.0,-0.55648561,-0.00305641,10,STOP_MACD,EMA_BB,False
