symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,SHORT,2026-02-15T17:45:00,2026-02-15T20:45:00,1968.34305,1950.11,0.24385993,120.0,4.0,4.06408884,0.03386741,12,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-18T07:30:00,2026-02-18T10:00:00,2015.168225,2016.6,0.23911582,120.46465066,4.0,-0.04326377,-0.00035914,10,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-18T18:30:00,2026-02-18T21:30:00,1949.341595,1945.58,0.24713232,120.43632979,4.0,0.5445873,0.00452179,12,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-19T11:15:00,2026-02-19T15:30:00,66740.65862,66474.03,0.0072207,120.4785565,4.0,1.5404838,0.01278637,17,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2026-02-20T06:00:00,2026-02-20T08:30:00,67959.095965,67792.86,0.00710076,120.64028267,4.0,-1.56597819,-0.01298056,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-20T18:15:00,2026-02-20T22:00:00,67766.247125,67659.4,0.00710851,120.42920235,4.0,-1.14459312,-0.00950428,15,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2026-02-21T09:15:00,2026-02-21T11:45:00,68337.442635,68092.45,0.0070397,120.26872877,4.0,-2.10884407,-0.01753443,10,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-23T00:45:00,2026-02-23T04:45:00,1926.52587,1860.17,0.24913774,119.99257589,4.0,16.15438802,0.13462823,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-23T17:00:00,2026-02-23T21:00:00,64983.408455,64599.99,0.00750395,121.90806387,4.0,2.48819802,0.02041045,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-24T12:45:00,2026-02-24T14:30:00,62874.596425,63336.41,0.00777314,122.18324129,4.0,-3.98216329,-0.03259173,7,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-02-25T12:15:00,2026-02-25T19:00:00,1941.257525,2066.26,0.25072804,121.68192251,4.0,30.93970647,0.25426707,27,RUNNER_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-26T09:30:00,2026-02-26T11:15:00,2076.379905,2059.24,0.24151905,125.37132436,4.0,-4.53914593,-0.03620562,7,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-02-26T17:00:00,2026-02-26T18:30:00,66790.553665,67262.95,0.00747426,124.80255555,4.0,-3.93159536,-0.03150252,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-27T11:00:00,2026-02-27T14:00:00,1979.28661,1961.64,0.25121536,124.30680202,4.0,4.03709104,0.03247683,12,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-27T17:00:00,2026-02-27T18:00:00,65361.899865,65545.82,0.00763548,124.76738604,4.0,-1.80413606,-0.01446,4,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-28T06:00:00,2026-02-28T10:00:00,1908.263305,1852.53,0.26102673,124.52693437,4.0,14.15521552,0.11367192,16,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-28T19:00:00,2026-02-28T23:00:00,65857.19784,66961.58,0.00766517,126.20165106,4.0,8.05804539,0.06385055,16,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-03-01T20:00:00,2026-03-01T22:00:00,1930.969195,1946.08,0.26337942,127.14438579,4.0,-4.38832901,-0.03451453,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-03-03T09:00:00,2026-03-03T11:00:00,1962.75145,1959.09,0.25799166,126.59337459,4.0,0.5399026,0.00426486,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-03-04T07:30:00,2026-03-04T11:30:00,69072.864115,71109.22,0.00733335,126.63385698,4.0,14.52210699,0.11467792,16,STOP_MACD,EMA_BB,False
