symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-09-18T08:45:00,2025-09-18T10:00:00,4609.34366,4587.24,0.1735605,200.0,4.0,-4.4747878,-0.02237394,5,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-09-18T13:15:00,2025-09-18T13:30:00,117621.518025,117171.07,0.00676886,199.04104244,4.0,-3.68473357,-0.01851243,1,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-18T14:00:00,2025-09-18T18:30:00,4614.341145,4607.56,0.1718472,198.24040259,4.0,-1.79922395,-0.00907597,18,STOP_MACD,EMA_MACD+EMA_BB,False
ETHUSDT,LONG,2025-09-18T20:45:00,2025-09-18T21:00:00,4611.757275,4594.46,0.17157635,197.81712087,4.0,-3.59963099,-0.01819676,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-09-19T00:45:00,2025-09-19T02:00:00,4616.704685,4597.88,0.17071388,197.0338932,4.0,-3.84285803,-0.01950354,5,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2025-09-19T09:45:00,2025-09-19T14:00:00,116313.268,116310.24,0.00674737,196.20227075,4.0,-0.60740805,-0.00309583,17,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-19T14:45:00,2025-09-19T19:15:00,4489.006375,4464.64,0.17466494,196.01800441,4.0,3.63039613,0.01852073,18,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-20T09:30:00,2025-09-20T10:00:00,4457.32397,4472.84,0.17650174,196.68135787,4.0,-3.36908206,-0.01712965,2,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2025-09-21T04:15:00,2025-09-21T05:45:00,4463.41482,4477.38,0.17560062,195.94460343,4.0,-3.08029793,-0.01572025,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-21T09:15:00,2025-09-21T12:00:00,4449.565625,4465.18,0.17553699,195.26584157,4.0,-3.36684748,-0.01724238,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-21T16:15:00,2025-09-21T17:45:00,115229.685815,115628.18,0.00675277,194.529987,4.0,-3.31451324,-0.01703857,6,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-21T19:00:00,2025-09-21T20:30:00,4487.00042,4480.52,0.17277006,193.80483476,4.0,-1.73935018,-0.00897475,6,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-09-21T23:00:00,2025-09-22T04:15:00,4441.68746,4301.36,0.17416349,193.39494718,4.0,23.83083229,0.12322366,21,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-22T05:45:00,2025-09-22T09:45:00,113520.653215,112336.62,0.0069802,198.09922725,4.0,7.63417751,0.03853714,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-22T17:00:00,2025-09-22T18:30:00,112138.81908,112736.0,0.00711842,199.562671,4.0,-4.89128273,-0.02451001,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-22T19:45:00,2025-09-22T20:30:00,4128.77753,4176.02,0.19232865,198.5205544,4.0,-9.72498079,-0.04898727,3,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-09-23T01:30:00,2025-09-23T04:00:00,112097.601,112132.04,0.00701218,196.51203166,4.0,-0.87042743,-0.00442938,10,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-23T11:15:00,2025-09-23T11:30:00,4182.95614,4194.5,0.18769029,196.27506233,4.0,-2.79561729,-0.01424336,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-23T13:30:00,2025-09-23T14:00:00,4182.55674,4198.29,0.18711343,195.65313085,4.0,-3.57117177,-0.01825257,2,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2025-09-23T16:00:00,2025-09-23T20:45:00,112409.322715,111985.77,0.00693452,194.87628749,4.0,2.31470722,0.01187783,19,STOP_MACD,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2025-09-24T03:00:00,2025-09-24T05:30:00,4157.65415,4169.74,0.18787216,195.27686852,4.0,-2.89638899,-0.01483222,10,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-09-24T10:45:00,2025-09-24T13:00:00,113111.39297,113011.03,0.00688295,194.63510213,4.0,-1.31334962,-0.00674775,9,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-24T14:00:00,2025-09-24T14:30:00,4162.04755,4182.05,0.18674477,194.31014897,4.0,-4.35863946,-0.02243135,2,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2025-09-24T16:30:00,2025-09-24T17:00:00,4168.368055,4181.63,0.18553488,193.34442,4.0,-3.08023978,-0.01593136,2,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-09-24T15:00:00,2025-09-24T18:00:00,113654.736765,113623.89,0.00680574,193.37624183,4.0,-0.82865517,-0.0042852,12,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-24T21:45:00,2025-09-25T07:15:00,4139.32169,4012.59,0.18599251,192.47071223,4.0,22.96466785,0.11931513,38,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T12:15:00,2025-09-25T14:00:00,3936.52634,4001.14,0.20017857,197.00205517,4.0,-13.56985046,-0.06888177,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T17:00:00,2025-09-25T19:00:00,3891.67372,3923.99,0.19963138,194.22504442,4.0,-7.07544411,-0.0364291,8,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-26T00:30:00,2025-09-26T01:00:00,108646.036125,109639.13,0.00709636,192.74780359,4.0,-7.666962,-0.03977717,2,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-09-26T07:30:00,2025-09-26T07:45:00,3903.046635,3938.11,0.19590105,191.15273189,4.0,-7.48338628,-0.03914873,1,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-09-26T09:45:00,2025-09-26T12:30:00,3909.24732,3949.11,0.19399631,189.59488576,4.0,-8.34300962,-0.0440044,11,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-26T18:00:00,2025-09-26T19:30:00,4056.65587,4012.74,0.18524185,187.86561347,4.0,-8.73297311,-0.04648521,6,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-27T08:00:00,2025-09-27T10:30:00,109123.698555,109402.39,0.00682011,186.05890185,4.0,-2.49685503,-0.0134197,10,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-27T13:00:00,2025-09-27T15:00:00,4021.92385,4002.85,0.18448882,185.499992,4.0,-4.11110441,-0.02216229,8,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2025-09-28T12:30:00,2025-09-28T13:15:00,3965.692525,3998.2,0.18621556,184.61841112,4.0,-6.64659786,-0.03600181,3,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-09-28T16:00:00,2025-09-28T18:15:00,110360.502815,110138.1,0.00664114,183.23001366,4.0,-2.06275449,-0.01125773,9,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-28T20:15:00,2025-09-29T01:15:00,110815.975,112042.97,0.00659684,182.75882915,4.0,7.50622439,0.04107175,20,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-29T08:15:00,2025-09-29T11:00:00,112370.032595,111923.15,0.00655696,184.20159121,4.0,-3.51846653,-0.01910117,11,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-09-29T13:30:00,2025-09-29T16:15:00,4153.98164,4158.13,0.17663916,183.43895339,4.0,0.14546506,0.00079299,11,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,LONG,2025-09-29T19:45:00,2025-09-30T02:00:00,114436.948325,114408.59,0.00641084,183.40934594,4.0,-0.76863797,-0.00419083,25,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-30T15:00:00,2025-09-30T18:00:00,4112.06264,4116.06,0.17820441,183.19692735,4.0,-1.2988623,-0.00708998,12,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-30T20:00:00,2025-09-30T22:00:00,114338.961565,114130.31,0.00639777,182.87853188,4.0,-1.91958161,-0.01049648,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T08:15:00,2025-10-01T12:30:00,115262.45473,116453.18,0.00633115,182.43609443,4.0,6.95185436,0.0381057,17,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-01T14:15:00,2025-10-01T17:45:00,4322.33379,4293.11,0.17006376,183.76808575,4.0,-5.55597757,-0.03023364,14,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-10-01T22:00:00,2025-10-02T02:00:00,118011.7525,118701.5,0.00618915,182.59808445,4.0,3.6829287,0.02016959,16,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-02T02:00:00,2025-10-02T04:00:00,4382.86445,4383.13,0.16726617,183.2762388,4.0,-0.5420842,-0.00295774,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-02T09:45:00,2025-10-02T10:45:00,119028.264985,118619.56,0.00615347,183.10917356,4.0,-3.09989668,-0.01692923,4,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-02T12:45:00,2025-10-02T14:30:00,4412.62903,4386.93,0.16537134,182.43059929,4.0,-4.83196112,-0.02648657,7,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-10-02T16:00:00,2025-10-02T17:15:00,120313.630145,119425.49,0.0060311,181.40582928,4.0,-5.93481649,-0.03271569,5,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-02T19:15:00,2025-10-02T20:45:00,120913.4986,120652.01,0.00595999,180.16081611,4.0,-2.13436071,-0.01184698,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-03T02:00:00,2025-10-03T04:30:00,4500.009905,4493.66,0.15971191,179.67629251,4.0,-1.58871392,-0.00884209,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-03T09:45:00,2025-10-03T13:00:00,120480.45,120269.11,0.00595287,179.30105331,4.0,-1.83133926,-0.01021377,13,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2025-10-03T15:00:00,2025-10-03T18:00:00,121031.275,122029.93,0.00591177,178.87740912,4.0,5.32905418,0.02979166,12,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-04T04:15:00,2025-10-04T07:15:00,122526.07384,122376.21,0.00587258,179.88597919,4.0,-1.45537018,-0.00809051,12,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2025-10-04T13:45:00,2025-10-04T14:30:00,122568.99813,122245.17,0.00585914,179.53734164,4.0,-2.47111608,-0.0137638,3,STOP_EMA30,EMA_MACD,False
BTCUSDT,LONG,2025-10-05T02:15:00,2025-10-05T07:00:00,123038.190865,125012.0,0.00581887,178.98566648,4.0,10.90798132,0.06094332,19,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-05T07:45:00,2025-10-05T08:45:00,4612.878955,4587.54,0.15704725,181.10998733,4.0,-4.55737337,-0.02516357,4,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-05T20:00:00,2025-10-05T21:15:00,4490.39429,4501.26,0.16046747,180.14055746,4.0,-2.32074026,-0.01288294,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-06T06:15:00,2025-10-06T07:45:00,4568.672745,4533.19,0.15726122,179.61876443,4.0,-6.15260785,-0.0342537,6,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-10-06T11:15:00,2025-10-06T12:45:00,4595.20248,4581.29,0.15523213,178.33076485,4.0,-2.72945846,-0.01530559,6,STOP_MACD,EMA_BB,False
