symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
BTCUSDT,SHORT,2026-01-16T10:45:00,2026-01-16T12:15:00,95164.388975,95568.98,0.00630488,150.0,4.0,-3.031918,-0.02021279,6,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-16T15:15:00,2026-01-16T17:45:00,94579.827135,95076.08,0.00632309,149.5092123,4.0,-3.61753662,-0.02419608,10,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-17T15:00:00,2026-01-17T17:45:00,3320.07265,3319.43,0.17943065,148.9306996,4.0,-0.59184322,-0.00397395,11,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-18T14:15:00,2026-01-18T20:00:00,3342.70655,3343.73,0.1780667,148.80617975,4.0,-0.29401031,-0.00197579,23,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-19T00:00:00,2026-01-19T03:15:00,92309.937085,92548.12,0.00644465,148.72636472,4.0,-2.01154447,-0.01352514,13,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-19T06:30:00,2026-01-19T10:45:00,3188.879495,3215.47,0.18613301,148.38893872,4.0,-5.42619522,-0.03656738,17,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-01-19T18:15:00,2026-01-19T19:00:00,3205.853995,3220.6,0.18408748,147.53939609,4.0,-3.1877668,-0.02160621,3,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-01-19T21:45:00,2026-01-20T01:15:00,92863.91487,92857.18,0.00633296,147.02582162,4.0,-0.42781392,-0.00290979,14,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-20T04:45:00,2026-01-20T10:15:00,3168.00086,3108.48,0.18551303,146.92636333,4.0,10.57614776,0.07198264,22,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T13:45:00,2026-01-20T18:45:00,3074.371515,2991.81,0.19318098,148.47752317,4.0,15.48056577,0.10426202,20,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T22:30:00,2026-01-21T00:45:00,2943.71779,2960.0,0.20486199,150.76397343,4.0,-3.81938495,-0.02533354,9,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-21T08:30:00,2026-01-21T11:15:00,2954.990855,2968.71,0.20325597,150.15488233,4.0,-3.27010913,-0.02177824,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-21T11:45:00,2026-01-21T14:00:00,88656.805015,89578.8,0.0067509,149.62832879,4.0,-6.70559725,-0.04481502,9,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-01-21T16:30:00,2026-01-21T19:00:00,2884.64653,2923.08,0.20603783,148.5865784,4.0,-8.39739334,-0.05651515,10,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2026-01-22T13:30:00,2026-01-22T17:00:00,2964.1471,2944.64,0.19876383,147.29130862,4.0,3.40752467,0.02313459,14,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-22T21:45:00,2026-01-22T23:30:00,89134.75701,89505.7,0.00663118,147.76708741,4.0,-2.93362721,-0.01985305,7,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-23T07:00:00,2026-01-23T11:00:00,2937.397285,2939.16,0.20057427,147.29157923,4.0,-0.82502975,-0.00560134,16,STOP_MACD,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-23T14:30:00,2026-01-23T15:30:00,2904.25707,2934.85,0.20264387,147.13247479,4.0,-6.67277351,-0.04535215,4,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-25T03:30:00,2026-01-25T10:15:00,88795.077295,88625.7,0.00658128,146.09624696,4.0,0.64765677,0.00443308,27,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-25T14:15:00,2026-01-25T21:30:00,2925.215585,2808.56,0.19985991,146.15833238,4.0,22.8563942,0.15638105,29,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-26T14:30:00,2026-01-26T15:30:00,2922.31691,2892.93,0.20470294,149.55171351,4.0,-6.49174603,-0.04340804,4,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-01-27T07:15:00,2026-01-27T07:30:00,88657.497065,88451.84,0.00670184,148.5420592,4.0,-1.85306374,-0.01247501,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-01-27T16:00:00,2026-01-27T17:30:00,2978.24067,2921.96,0.1990819,148.22844954,4.0,-11.67431172,-0.07875891,6,STOP_EMA30,EMA_MACD+EMA_BB,False
BTCUSDT,LONG,2026-01-27T21:00:00,2026-01-27T23:45:00,89528.782035,89250.0,0.00654278,146.44172795,4.0,-2.29189279,-0.01565054,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-28T09:45:00,2026-01-28T14:30:00,89701.600875,89710.71,0.00651327,146.06279802,4.0,-0.40809445,-0.00279397,19,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-28T20:15:00,2026-01-28T20:30:00,3036.558015,3014.04,0.19227893,145.96652878,4.0,-4.79510075,-0.03285069,1,STOP_EMA30,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-01-29T02:00:00,2026-01-29T04:45:00,88557.22461,88315.2,0.00655902,145.2122317,4.0,1.12340097,0.00773627,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-29T09:45:00,2026-01-29T12:45:00,2937.96643,2936.34,0.19788639,145.34589091,4.0,-0.14312975,-0.00098475,12,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-29T14:45:00,2026-01-29T19:30:00,86883.8784,84166.57,0.00668891,145.28953844,4.0,17.71816609,0.12195074,19,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-30T01:15:00,2026-01-30T04:00:00,83647.26062,83030.61,0.00707315,147.91239386,4.0,3.890087,0.02629994,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-30T06:30:00,2026-01-30T07:00:00,2703.089275,2745.81,0.21968998,148.46040794,4.0,-9.8641427,-0.06644292,2,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-30T15:15:00,2026-01-30T16:30:00,2706.284475,2737.75,0.217191,146.94515603,4.0,-7.30698687,-0.04972595,5,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-30T18:15:00,2026-01-30T18:30:00,82373.19459,83134.78,0.00708065,145.81384117,4.0,-5.86127737,-0.04019699,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-30T20:15:00,2026-01-30T22:45:00,2679.285035,2709.92,0.21632585,144.89965424,4.0,-7.09346464,-0.04895432,10,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-31T07:30:00,2026-01-31T10:45:00,2671.02744,2651.67,0.21534913,143.80085862,4.0,3.71011255,0.02580035,13,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-31T14:00:00,2026-01-31T19:30:00,2606.86383,2388.59,0.11072528,144.3228633,4.0,46.4180708,0.32162659,22,RUNNER_MACD,EMA_BB,True
ETHUSDT,SHORT,2026-02-01T05:30:00,2026-02-01T09:30:00,2423.469335,2426.7,0.24964366,151.25093643,4.0,-1.29084063,-0.00853443,16,STOP_MACD,EMA_MACD+EMA_BB,False
BTCUSDT,SHORT,2026-02-01T10:45:00,2026-02-01T11:30:00,78162.310405,78839.52,0.00772858,151.02101012,4.0,-5.71923253,-0.03787044,3,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-02-01T14:30:00,2026-02-01T17:45:00,2347.623275,2313.96,0.25579382,150.12688019,4.0,8.13389597,0.05418014,13,STOP_MACD,EMA_BB,False
