symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-09-18T08:45:00,2025-09-18T10:00:00,4609.34366,4587.24,0.08678025,100.0,4.0,-2.2373939,-0.02237394,5,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-09-18T20:45:00,2025-09-18T21:00:00,4611.757275,4594.46,0.0865269,99.76026061,4.0,-1.81531368,-0.01819676,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-19T11:30:00,2025-09-19T12:30:00,4502.446185,4519.09,0.08845216,99.5627676,4.0,-1.79137104,-0.01799238,4,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-20T09:30:00,2025-09-20T10:00:00,4457.32397,4472.84,0.08917252,99.36770045,4.0,-1.70213355,-0.01712965,2,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-22T00:15:00,2025-09-22T04:15:00,4420.97857,4301.36,0.08973723,99.18158827,4.0,10.42115126,0.10507143,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-22T06:00:00,2025-09-22T09:45:00,112841.353695,112336.62,0.00355217,100.20783434,4.0,1.47295048,0.01469896,15,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-23T11:15:00,2025-09-23T11:30:00,4182.95614,4194.5,0.09595042,100.33909613,4.0,-1.42916634,-0.01424336,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-23T17:30:00,2025-09-23T19:15:00,4138.42304,4170.18,0.09682927,100.18012524,4.0,-3.3968098,-0.03390702,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T00:15:00,2025-09-25T07:15:00,4133.11102,4012.59,0.09660947,99.82441544,4.0,11.32869103,0.11348617,28,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T12:15:00,2025-09-25T14:00:00,3936.52634,4001.14,0.10256892,100.94131264,4.0,-6.95301639,-0.06888177,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-25T17:00:00,2025-09-25T20:45:00,109994.76,109163.44,0.0036449,100.22986039,4.0,2.71055127,0.02704335,15,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-26T07:30:00,2025-09-26T07:45:00,3903.046635,3938.11,0.10298097,100.48487874,4.0,-3.93385517,-0.03914873,1,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-09-26T07:45:00,2025-09-26T08:00:00,109156.03997,109438.26,0.00366724,100.07541564,4.0,-1.35562459,-0.01354603,1,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-26T18:00:00,2025-09-26T19:30:00,4056.65587,4012.74,0.09852829,99.92384112,4.0,-4.64498107,-0.04648521,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-28T20:30:00,2025-09-29T01:15:00,111110.07549,112042.97,0.00357999,99.4433552,4.0,3.02020225,0.03037108,19,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-29T08:15:00,2025-09-29T11:00:00,112370.032595,111923.15,0.00355004,99.72946449,4.0,-1.90494979,-0.01910117,11,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-09-29T20:30:00,2025-09-29T23:00:00,4236.72557,4222.58,0.0939622,99.52301279,4.0,-1.64709084,-0.01654985,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-30T20:00:00,2025-09-30T22:00:00,114338.961565,114130.31,0.00347536,99.34238003,4.0,-1.04274571,-0.01049648,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T08:15:00,2025-10-01T12:30:00,115262.45473,116453.18,0.00344335,99.22221067,4.0,3.7809314,0.0381057,17,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T23:15:00,2025-10-02T02:00:00,118530.118885,118701.5,0.00336065,99.58442826,4.0,0.25705063,0.00258123,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-02T12:45:00,2025-10-02T14:45:00,119581.52363,118814.09,0.00333142,99.59419981,4.0,-2.87432586,-0.02886037,8,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-10-02T19:00:00,2025-10-02T20:45:00,121190.203035,120652.01,0.00327719,99.29083216,4.0,-2.08078602,-0.02095648,7,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-03T09:45:00,2025-10-03T13:00:00,120480.45,120269.11,0.00328906,99.06686702,4.0,-1.01184594,-0.01021377,13,STOP_MACD,EMA_MACD,False
ETHUSDT,LONG,2025-10-05T07:45:00,2025-10-05T08:45:00,4612.878955,4587.54,0.0858031,98.94983173,4.0,-2.48993076,-0.02516357,4,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-05T20:00:00,2025-10-05T21:15:00,4490.39429,4501.26,0.08790765,98.68500668,4.0,-1.27135317,-0.01288294,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-06T07:00:00,2025-10-06T07:45:00,4580.210025,4533.19,0.08605901,98.54208176,4.0,-4.36021273,-0.04424722,3,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-10-06T18:45:00,2025-10-06T19:30:00,126200.19677,125391.4,0.00310904,98.09029376,4.0,-2.82746279,-0.0288251,3,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-07T12:45:00,2025-10-07T13:30:00,4754.58119,4687.86,0.08227169,97.79185303,4.0,-5.80000304,-0.05930968,3,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-10-07T23:45:00,2025-10-08T00:45:00,4441.02845,4471.6,0.08754387,97.19620603,4.0,-2.98845025,-0.03074657,4,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-08T18:00:00,2025-10-08T19:30:00,124056.576155,123432.01,0.00312379,96.88180961,4.0,-2.26025764,-0.02333005,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-09T08:00:00,2025-10-09T10:45:00,4397.244225,4354.7,0.08790986,96.64028276,4.0,3.43230405,0.03551629,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-10T20:45:00,2025-10-10T22:45:00,114095.41977,113700.0,0.00169977,96.96805072,4.0,19.50114986,0.20110902,8,RUNNER_EMA10,EMA_BB,True
BTCUSDT,SHORT,2025-10-11T07:00:00,2025-10-11T09:00:00,111230.80315,111550.16,0.00355666,98.90265081,4.0,-1.45278786,-0.01468907,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-11T18:15:00,2025-10-11T22:15:00,3810.305955,3740.86,0.10365734,98.7415476,4.0,6.88548964,0.06973245,16,STOP_MACD,EMA_MACD,False
BTCUSDT,SHORT,2025-10-12T00:30:00,2025-10-12T02:15:00,109577.716505,110447.44,0.003629,99.41429792,4.0,-3.4756121,-0.03496089,7,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-12T20:15:00,2025-10-12T21:30:00,115403.736335,114622.81,0.00343319,99.05083042,4.0,-2.9969612,-0.0302568,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-13T07:15:00,2025-10-13T09:00:00,4194.64254,4149.47,0.09415371,98.73528617,4.0,-4.56741375,-0.04625918,7,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-10-13T17:45:00,2025-10-13T21:45:00,4240.97193,4258.29,0.09267946,98.26274715,4.0,1.28994657,0.01312752,16,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-14T06:30:00,2025-10-14T08:45:00,3987.939105,3996.3,0.09867354,98.37601977,4.0,-1.14013239,-0.01158954,9,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-15T08:00:00,2025-10-15T10:15:00,4144.217015,4127.57,0.09482734,98.24626637,4.0,-1.89234872,-0.01926128,9,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2025-10-15T12:15:00,2025-10-15T14:15:00,111302.55536,111918.76,0.00352342,98.04131209,4.0,-2.48574619,-0.02535407,8,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-16T06:00:00,2025-10-16T06:15:00,110772.062295,111316.46,0.00353075,97.77705086,4.0,-2.23578636,-0.02286617,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-10-16T08:30:00,2025-10-16T09:30:00,3986.11185,4019.81,0.09787766,97.5378279,4.0,-3.61173653,-0.03702909,4,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-10-17T06:00:00,2025-10-17T11:00:00,3889.89639,3777.43,0.09991119,97.16104819,4.0,10.93023061,0.11249601,20,STOP_MACD,EMA_BB,False
