symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-09-18T08:45:00,2025-09-18T10:00:00,4609.34366,4587.24,0.12149235,140.0,4.0,-3.13235146,-0.02237394,5,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-09-18T20:45:00,2025-09-18T21:00:00,4611.757275,4594.46,0.12102121,139.5301108,4.0,-2.53899616,-0.01819676,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-20T09:30:00,2025-09-20T10:00:00,4457.32397,4472.84,0.12486721,139.14339659,4.0,-2.38347715,-0.01712965,2,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-22T00:15:00,2025-09-22T04:15:00,4420.97857,4301.36,0.12556364,138.77854167,4.0,14.58165976,0.10507143,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-22T06:00:00,2025-09-22T09:45:00,112841.353695,112336.62,0.00499068,140.78888764,4.0,2.06944958,0.01469896,15,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-22T19:30:00,2025-09-22T20:30:00,111824.39143,112621.27,0.00504531,141.04707387,4.0,-4.47345523,-0.03171604,4,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-09-23T17:30:00,2025-09-23T19:15:00,4138.42304,4170.18,0.13569342,140.38919559,4.0,-4.76017967,-0.03390702,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T00:15:00,2025-09-25T07:15:00,4133.11102,4012.59,0.13519242,139.69132326,4.0,15.85303389,0.11348617,28,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T17:00:00,2025-09-25T19:00:00,3891.67372,3923.99,0.14582873,141.87945715,4.0,-5.16854133,-0.0364291,8,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-26T00:30:00,2025-09-26T01:00:00,108646.036125,109639.13,0.00519574,141.12408036,4.0,-5.61351643,-0.03977717,2,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-09-26T07:30:00,2025-09-26T07:45:00,3903.046635,3938.11,0.14379185,140.30657627,4.0,-5.49282397,-0.03914873,1,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-09-26T18:00:00,2025-09-26T19:30:00,4056.65587,4012.74,0.13755779,139.50615224,4.0,-6.48497324,-0.04648521,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-28T20:30:00,2025-09-29T01:15:00,111110.07549,112042.97,0.00498846,138.56700661,4.0,4.20842986,0.03037108,19,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-29T08:15:00,2025-09-29T11:00:00,112370.032595,111923.15,0.00495239,139.12514778,4.0,-2.65745357,-0.01910117,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-29T20:00:00,2025-09-30T02:00:00,114540.5535,114408.59,0.00484447,138.72194025,4.0,-1.08294712,-0.0078066,24,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-30T20:00:00,2025-09-30T22:00:00,114338.961565,114130.31,0.00484662,138.53925394,4.0,-1.45417508,-0.01049648,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T08:15:00,2025-10-01T12:30:00,115262.45473,116453.18,0.00479964,138.30463663,4.0,5.27019444,0.0381057,17,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T23:15:00,2025-10-02T02:00:00,118530.118885,118701.5,0.00469118,139.01148362,4.0,0.35882105,0.00258123,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-02T19:00:00,2025-10-02T20:45:00,121190.203035,120652.01,0.00458884,139.03057999,4.0,-2.91359113,-0.02095648,7,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-03T09:45:00,2025-10-03T13:00:00,120480.45,120269.11,0.0046013,138.59153438,4.0,-1.4155417,-0.01021377,13,STOP_MACD,EMA_MACD,False
ETHUSDT,LONG,2025-10-04T06:00:00,2025-10-04T07:45:00,4514.70191,4498.29,0.12258822,138.36231404,4.0,-2.45386142,-0.01773504,7,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2025-10-05T07:45:00,2025-10-05T08:45:00,4612.878955,4587.54,0.11965437,137.98778028,4.0,-3.4722648,-0.02516357,4,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-05T20:00:00,2025-10-05T21:15:00,4490.39429,4501.26,0.12245762,137.47075395,4.0,-1.77102768,-0.01288294,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-06T07:00:00,2025-10-06T07:45:00,4580.210025,4533.19,0.11981286,137.19201662,4.0,-6.07036473,-0.04424722,3,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2025-10-06T18:45:00,2025-10-06T19:30:00,126200.19677,125391.4,0.00432048,136.31143455,4.0,-3.9291911,-0.0288251,3,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-07T23:45:00,2025-10-08T00:45:00,4441.02845,4471.6,0.1222517,135.73081403,4.0,-4.17325738,-0.03074657,4,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-08T18:00:00,2025-10-08T19:30:00,124056.576155,123432.01,0.0043566,135.1161543,4.0,-3.15226689,-0.02333005,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-09T08:00:00,2025-10-09T10:45:00,4397.244225,4354.7,0.12248087,134.64457092,4.0,4.78207526,0.03551629,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-10T20:45:00,2025-10-10T22:45:00,114095.41977,113700.0,0.00237142,135.28390107,4.0,27.20681305,0.20110902,8,RUNNER_EMA10,EMA_BB,True
BTCUSDT,SHORT,2025-10-11T07:00:00,2025-10-11T09:00:00,111230.80315,111550.16,0.00500086,139.0625513,4.0,-2.04269941,-0.01468907,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-11T18:15:00,2025-10-11T22:15:00,3810.305955,3740.86,0.14565279,138.74542337,4.0,9.67505775,0.06973245,16,STOP_MACD,EMA_MACD,False
BTCUSDT,SHORT,2025-10-12T00:30:00,2025-10-12T02:15:00,109577.716505,110447.44,0.00511304,140.06885248,4.0,-4.89693141,-0.03496089,7,STOP_MACD,EMA_BB,False
