symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-10-19T11:00:00,2025-10-19T13:00:00,3952.1193,3917.25,0.10121152,100.0,4.0,-3.84776317,-0.03847763,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-22T11:00:00,2025-10-22T12:15:00,3819.68187,3845.12,0.10430107,99.59922368,4.0,-2.97300291,-0.02984966,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-23T17:00:00,2025-10-23T18:30:00,3893.521535,3875.54,0.10200122,99.28598752,4.0,-2.15112003,-0.0216659,6,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-10-24T12:30:00,2025-10-24T13:30:00,3983.22589,3936.03,0.09947213,99.05498976,4.0,-5.00977375,-0.05057568,4,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-10-26T11:30:00,2025-10-26T14:45:00,4048.2633,4066.86,0.09736339,98.53816358,4.0,1.49459145,0.01516764,13,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-26T23:00:00,2025-10-27T03:15:00,4167.22147,4209.24,0.09471237,98.67185662,4.0,3.6623328,0.03711629,17,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-27T17:00:00,2025-10-27T19:30:00,4224.737615,4199.52,0.09375475,99.0223024,4.0,-2.68019679,-0.0270666,10,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-28T20:00:00,2025-10-28T22:45:00,3995.927105,3995.24,0.09883908,98.73843916,4.0,-0.24802301,-0.00251192,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-29T18:30:00,2025-10-29T20:15:00,109591.875235,111329.97,0.00360238,98.6978387,4.0,-6.57961185,-0.06666419,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-30T12:15:00,2025-10-30T16:00:00,3848.4187,3790.17,0.10188505,98.02408587,4.0,5.62336868,0.05736721,15,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-10-30T20:00:00,2025-10-30T20:30:00,3702.85737,3736.35,0.10648073,98.57073888,4.0,-3.88317258,-0.03939478,2,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-31T11:45:00,2025-10-31T12:30:00,110581.233415,109768.2,0.00355093,98.1666503,4.0,-3.20000602,-0.03259769,3,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-03T11:00:00,2025-11-03T12:15:00,3690.8554,3726.0,0.10602522,97.83094304,4.0,-4.04076361,-0.04130353,5,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-11-04T17:00:00,2025-11-04T22:00:00,3380.132185,3268.66,0.11527503,97.41121373,4.0,12.54338409,0.12876735,20,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-05T11:00:00,2025-11-05T11:30:00,3289.568235,3306.91,0.11995491,98.64996634,4.0,-2.39674186,-0.02429541,2,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-11-05T17:00:00,2025-11-05T20:15:00,3424.7294,3458.0,0.11492237,98.39450816,4.0,3.50714449,0.0356437,13,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-07T11:00:00,2025-11-07T13:45:00,3249.5184,3240.99,0.12153121,98.72947949,4.0,0.72094706,0.00730225,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-11-09T18:45:00,2025-11-09T21:00:00,104669.418975,104382.72,0.00377515,98.78577748,4.0,-1.39801416,-0.01415198,9,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-11-10T20:00:00,2025-11-10T21:00:00,106394.99346,105594.0,0.00370808,98.63017034,4.0,-3.28457281,-0.03330191,4,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-11-11T20:30:00,2025-11-11T21:15:00,3428.26987,3438.72,0.11467701,98.28593223,4.0,-1.51338397,-0.01539777,3,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-11-12T11:00:00,2025-11-12T14:30:00,3564.869295,3547.17,0.11009533,98.11886808,4.0,-2.26181071,-0.02305174,14,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-13T17:00:00,2025-11-13T21:00:00,3290.33708,3191.34,0.11898719,97.87698799,4.0,11.47088942,0.117197,16,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-14T11:30:00,2025-11-14T14:15:00,3133.03339,3134.47,0.12640582,99.00841662,4.0,-0.49849544,-0.00503488,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-11-14T20:30:00,2025-11-15T01:00:00,3125.64449,3146.88,0.12662058,98.94272573,4.0,-3.00654475,-0.03038672,18,STOP_MACD,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2025-11-16T17:00:00,2025-11-16T18:15:00,3056.498365,3094.46,0.12907089,98.62624041,4.0,-5.21730585,-0.05289977,5,STOP_MACD,EMA_BB,False
