symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-12-21T09:45:00,2025-12-21T11:30:00,3008.506,2996.52,0.15954763,120.0,4.0,-2.29557295,-0.01912977,7,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-12-22T00:00:00,2025-12-22T02:00:00,3050.1684,2994.04,0.1569769,119.70149125,4.0,-9.19038239,-0.07677751,8,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2025-12-22T08:15:00,2025-12-22T08:45:00,3055.706695,3027.84,0.15521864,118.57566267,4.0,-4.70314257,-0.03966364,2,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-22T20:00:00,2025-12-22T21:45:00,2973.942385,2988.68,0.15869644,117.98851904,4.0,-2.71730585,-0.02303026,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-23T06:15:00,2025-12-23T08:00:00,2948.999855,2966.26,0.15956568,117.63978854,4.0,-3.13167567,-0.02662089,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-12-26T00:00:00,2025-12-26T01:30:00,2901.291525,2919.01,0.16164029,117.24140062,4.0,-3.24033752,-0.02763817,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-02T09:00:00,2026-01-02T11:30:00,3045.78183,3049.18,0.15343193,116.83004977,4.0,0.14732308,0.001261,10,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-02T17:00:00,2026-01-02T18:30:00,3143.297885,3112.1,0.14866589,116.82529717,4.0,-5.01004718,-0.04288495,6,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-04T00:00:00,2026-01-04T02:30:00,3152.691955,3142.78,0.14743167,116.20166105,4.0,-1.83259687,-0.01577083,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-05T00:00:00,2026-01-05T03:45:00,92033.193025,92878.22,0.0050399,115.95943871,4.0,3.88607463,0.03351236,15,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-05T17:45:00,2026-01-05T21:45:00,3218.20007,3238.32,0.1446815,116.40350345,4.0,2.53732605,0.02179768,16,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-06T06:30:00,2026-01-06T07:15:00,3252.741805,3221.4,0.14349203,116.6856331,4.0,-4.8688944,-0.0417266,3,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-06T18:00:00,2026-01-06T20:00:00,91689.35935,92424.97,0.00506401,116.07896213,4.0,-4.09808255,-0.03530427,8,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-01-07T19:00:00,2026-01-07T19:45:00,90651.15899,91186.07,0.00509932,115.56490507,4.0,-3.09858326,-0.02681249,3,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-08T06:15:00,2026-01-08T08:15:00,3113.10333,3133.8,0.14798209,115.17088661,4.0,-3.43250848,-0.02980361,8,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-08T20:15:00,2026-01-08T21:00:00,3090.45735,3113.02,0.14850472,114.73687279,4.0,-3.71915819,-0.03241467,3,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2026-01-09T09:00:00,2026-01-09T11:15:00,3088.250665,3100.22,0.14800424,114.26854433,4.0,-2.13788022,-0.01870926,9,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-13T23:00:00,2026-01-14T01:00:00,3341.46469,3334.17,0.1364552,113.99005914,4.0,-1.35976842,-0.01192883,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-01-15T08:45:00,2026-01-15T11:45:00,96787.9645,96581.08,0.00470327,113.80500084,4.0,-1.33682061,-0.01174659,12,STOP_EMA30,EMA_MACD,False
