symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2026-01-18T18:15:00,2026-01-18T20:00:00,3367.273345,3343.73,0.14254857,120.0,4.0,-3.73872773,-0.03115606,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-19T18:15:00,2026-01-19T19:00:00,3205.853995,3220.6,0.14913756,119.52831267,4.0,-2.58255352,-0.02160621,3,STOP_EMA30,EMA_MACD,False
BTCUSDT,SHORT,2026-01-19T23:00:00,2026-01-20T01:15:00,92303.566655,92857.18,0.00516537,119.19545681,4.0,-3.24218559,-0.02720058,9,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-20T17:30:00,2026-01-20T20:15:00,89553.477985,89768.57,0.00530559,118.78350902,4.0,-1.52175375,-0.01281115,11,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-20T23:00:00,2026-01-21T00:45:00,2939.28445,2960.0,0.16137001,118.57809213,4.0,-3.72365561,-0.03140256,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-21T11:45:00,2026-01-21T14:00:00,2938.5855,2974.01,0.16076917,118.10848647,4.0,-6.07539261,-0.05143909,9,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-21T17:00:00,2026-01-21T19:15:00,87192.065425,89646.66,0.00538383,117.35676252,4.0,-13.59594175,-0.11585137,9,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-25T17:00:00,2026-01-25T21:30:00,2879.53421,2808.56,0.16072421,115.70271701,4.0,11.04158822,0.09543067,18,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-27T17:00:00,2026-01-27T17:30:00,2964.349865,2921.96,0.15788351,117.00549268,4.0,-7.06440132,-0.06037666,2,STOP_EMA30,EMA_BB,False
BTCUSDT,LONG,2026-01-28T11:45:00,2026-01-28T14:30:00,90215.12,89710.71,0.00514926,116.13529947,4.0,-2.96793276,-0.02555582,11,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-01-28T20:15:00,2026-01-28T20:30:00,3036.558015,3014.04,0.15248429,115.75684956,4.0,-3.80269203,-0.03285069,1,STOP_EMA30,EMA_MACD+EMA_BB,False
ETHUSDT,SHORT,2026-01-29T11:15:00,2026-01-29T12:45:00,2920.163175,2936.34,0.15790666,115.2783012,4.0,-2.92434069,-0.02536766,6,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-01-30T18:00:00,2026-01-30T18:45:00,2697.757285,2740.27,0.17037151,114.90524688,4.0,-7.6135495,-0.06625937,3,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-01-31T17:00:00,2026-01-31T20:45:00,78728.499845,77999.03,0.00579051,113.96955913,4.0,3.8609901,0.03387738,15,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-01T11:00:00,2026-02-01T11:30:00,2389.959675,2420.12,0.19148607,114.41099579,4.0,-6.14370737,-0.05369857,2,STOP_EMA30,EMA_BB,False
BTCUSDT,SHORT,2026-02-01T20:15:00,2026-02-01T22:00:00,76573.70689,77491.44,0.00593686,113.65178399,4.0,-5.81431519,-0.05115903,7,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-01T23:00:00,2026-02-02T00:15:00,2256.17066,2313.93,0.20021933,112.93224503,4.0,-11.93054541,-0.10564339,5,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2026-02-03T17:00:00,2026-02-03T19:45:00,2218.676985,2205.28,0.20098265,111.47889659,4.0,2.33690614,0.02096277,11,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-04T11:00:00,2026-02-04T12:45:00,75703.63396,76180.85,0.00590397,111.73792138,4.0,-3.17615564,-0.02842505,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-05T11:00:00,2026-02-05T14:30:00,2084.598405,2086.35,0.21363411,111.33532902,4.0,-0.73062316,-0.00656237,14,STOP_MACD,EMA_MACD,False
ETHUSDT,SHORT,2026-02-05T20:45:00,2026-02-05T22:30:00,1866.785615,1875.18,0.23832684,111.22627786,4.0,-2.35733156,-0.02119402,7,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-06T17:15:00,2026-02-06T18:45:00,2073.094985,2044.61,0.21402211,110.92204263,4.0,-6.44892867,-0.05813929,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-06T23:00:00,2026-02-07T00:30:00,71228.30243,69734.97,0.00618444,110.12687415,4.0,-9.58414364,-0.0870282,6,STOP_EMA30,EMA_BB,False
ETHUSDT,LONG,2026-02-07T17:30:00,2026-02-07T21:45:00,2071.452525,2100.42,0.21039465,108.95563256,4.0,5.74350592,0.05271417,17,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2026-02-08T19:30:00,2026-02-08T20:45:00,2122.59913,2104.59,0.20658434,109.62393379,4.0,-4.06971262,-0.03712431,5,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-02-09T18:00:00,2026-02-09T20:30:00,2129.359255,2129.37,0.20497156,109.11452048,4.0,-0.34696493,-0.00317982,10,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-10T11:30:00,2026-02-10T13:15:00,68563.410385,68734.86,0.00636211,109.0519347,4.0,-1.44018326,-0.0132064,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2026-02-11T23:45:00,2026-02-12T00:00:00,1938.26823,1953.22,0.22465038,108.85817473,4.0,-3.70861057,-0.03406828,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,LONG,2026-02-12T11:00:00,2026-02-12T12:30:00,1991.64299,1982.78,0.21769412,108.3922407,4.0,-2.27550419,-0.02099324,6,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2026-02-12T17:00:00,2026-02-12T19:30:00,65641.739475,65979.2,0.00658717,108.09836888,4.0,-2.56971471,-0.023772,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2026-02-14T11:45:00,2026-02-14T12:45:00,70611.49861,69640.2,0.00610491,107.76924823,4.0,-6.27218236,-0.05820011,4,STOP_EMA30,EMA_BB,False
